priority,category,merchant,mall,city,rating,reviews,avg_price,branches,phone,website,opening_hours,lat,lng,reviews_text,price_mid_raw,price_mid,price_segment,pos_kw_count,neg_kw_count,sentiment_ratio,sentiment_label,top_pos_kw,top_neg_kw,mentions_delivery,geo_zone,bd_priority_score,tier,quadrant
Low,Entertainment,شاطئ الردسي Red Sea Beach‏,رد سي مول,Jeddah,4.1,242,,1,9200 27758 ext. 202,https://rsb.alkamal.sa/NjbWra,"السبت: 9:00 ص – 12:00 ص, الأحد: 9:00 ص – 12:00 ص, الاثنين: 9:00 ص – 12:00 ص, الثلاثاء: 9:00 ص – 12:00 ص, الأربعاء: 9:00 ص – 12:00 ص, الخميس: 9:00 ص – 1:00 ص, الجمعة: 1:00 م – 1:00 ص",21.5268692,39.1756164,من المواقع الترفيهيه الحركية للاطفال موقعها بجوار المطاعم بهيفاء مول نامل من الادارة اعادة النظر في الاسعار للتذاكر وايض… | مكان جميل جداً رائع جبت بناتي يلعبو واستمتعو جداً وانبسطو بإذن الله مهي اخر مره والموظفه عايشه خدومه واسلوبها عسل وجميل … | ماشاءالله الموظفات رائعات ربي يسعدهم❤️❤️طلعت بنتي مبسوطه مره,,60.0,Mid,2,0,1.0,Positive,"رائع, جميل",,False,South,51.46,Tier 2,⚠️ Risky
Low,Entertainment,شاطئ الردسي Redsea Beach,رد سي مول,Jeddah,3.8,44,,1,9200 27758 ext. 227,https://rsb.alkamal.sa/,"السبت: 9:00 ص – 12:00 ص, الأحد: 9:00 ص – 12:00 ص, الاثنين: 9:00 ص – 12:00 ص, الثلاثاء: 9:00 ص – 12:00 ص, الأربعاء: 9:00 ص – 12:00 ص, الخميس: 9:00 ص – 1:00 ص, الجمعة: 1:00 م – 1:00 ص",21.7737551,39.1700033,مكان متكامل من ناحية الألعاب . نضيف وجميل . شكرا لكم | سعر دخول الطفل جداً مبالغين فيه والله لاحد يروحلهم لين يسوو سعر مناسب ايش اللي 88 الطفل ؟ غير سعر المرافق !! طيب و اذا ا… | المكان صراحة فيه كم منطقه مافيها احتياطات السلامة بحكم انه كله اطفال ولازم الحرص يكون بزياده.. للاسف ماصورت لكن بكتب الل…,,60.0,Mid,1,0,1.0,Positive,جميل,,False,South,46.95,Tier 3,❌ Weak
High,Entertainment,ذا راوند,رد سي مول,Jeddah,4.5,1566,,12,050 336 8123,http://www.gojumpup.com/,"السبت: 3:00 م – 3:00 ص, الأحد: 3:00 م – 3:00 ص, الاثنين: 3:00 م – 3:00 ص, الثلاثاء: 3:00 م – 3:00 ص, الأربعاء: 3:00 م – 3:00 ص, الخميس: 3:00 م – 4:00 ص, الجمعة: 3:00 م – 4:00 ص",21.6176104,39.1331612,ماشاءالله تبارك الرحمن ذا راوند افضل مركز ترفيهي في جدة بدون اي منافس الافضل من ناحية الاسعار والأجواء ويقدم افضل الخدما… | المكان من الأماكن اللي دايم أحب أرجع لها بين فترة وفترة، الأجواء ممتعة والموظفين كلهم بشوشين ويخلوك تحس إنك مرحب في كل ز… | شكرا للموظفين شكرا للقائمين للمكان ، لفيت المملكة من شرقها ل غربها ل وسطها و هاذي افضل صالة تلعب فيها بولينج الأرضية نظي…,,60.0,Mid,0,0,0.5,Mixed,,,False,South,71.98,Tier 2,⭐ Star
Medium,Entertainment,فنكي منكي,رد سي مول,Jeddah,4.2,23051,,1,9200 23155,https://store.funkymonkey.sa/,"السبت: 9:00 ص – 11:30 م, الأحد: 9:00 ص – 11:30 م, الاثنين: 9:00 ص – 11:30 م, الثلاثاء: 9:00 ص – 12:30 ص, الأربعاء: 9:00 ص – 11:30 م, الخميس: 9:00 ص – 12:00 ص, الجمعة: 1:30 م – 12:00 ص",21.5283034,39.1782162,في الصباح كنت في فرع هيفاء مول ‏ودخلوا الاولاد يلعبون بالعبة المكعبات الصغيرة وحده من‏ موظفات فنكي منكي راحت عند ولدي وه… | تعامل الموظفات مممتاز وحريصين جدا ، بينتبهو للاطفال بدون محد ينبهم وفعلياتهم ممتازه بنتي انبسطت مرااا ومرا اشكر الموظفه … | المكان يجنن ومرح الاطفال بالقوه يخرجو 😂خصوصا لما لمار الله يسعدها تسويلهم العاب جماعيه احلى لمار 💕,,60.0,Mid,1,1,0.5,Mixed,ممتاز,صغير,False,South,57.59,Tier 2,⚠️ Risky
Medium,Entertainment,مركز ترفيهي,رد سي مول,Jeddah,4.8,19,,6,,,"السبت: 5:00 م – 3:00 ص, الأحد: 5:00 م – 3:00 ص, الاثنين: 5:00 م – 3:00 ص, الثلاثاء: 5:00 م – 3:00 ص, الأربعاء: 5:00 م – 3:00 ص, الخميس: 5:00 م – 5:00 ص, الجمعة: 5:00 م – 5:00 ص",21.749678,39.1167775,افضضضل مكان واشكر صاحب المكان احمد ع تعاونه ووقفته وكلشي فيه رائع من تنظيف وترتيب وتهويه والاضاءات مريحه للعين 🤍🤍✨ | المكان جميل ورهيببب ومرتتبب ماشاءالله مو أخر تعامل🤩🤍 | المكان مرتب ونظييففف واللي يشتغلو فيه لو امدحهم لبكرا م حخلص 🤍,,60.0,Mid,4,0,1.0,Positive,"رائع, جميل, نظيف",,False,South,56.27,Tier 2,💎 Hidden Gem
High,Entertainment,The B Club نادي البولينج,رد سي مول,Jeddah,4.2,652,,13,055 399 5565,,"السبت: 9:00 ص – 5:00 ص, الأحد: 9:00 ص – 5:00 ص, الاثنين: 9:00 ص – 5:00 ص, الثلاثاء: 9:00 ص – 5:00 ص, الأربعاء: 9:00 ص – 5:00 ص, الخميس: 9:00 ص – 5:00 ص, الجمعة: 4:00 م – 5:00 ص",21.5608872,39.1845219,مكان جميل جدا لجمعه الاصحاب وانصح انك تلعب بلياردو وسوني عن بقية الألعاب بس أبغا تعديل بسيط اول كنز تاخد إيدي سوني زي ما… | تجربة رهيبة وسيئة بنفس الوقت رحنا الصباح عشان الموسيقى والزحمة وللأسف صوت الموسيقى طالع لين برا المكان عالي بشكل مستفزز … | تجربتي رائعة في هذا المكان والبولينج والتنس ممتع والموظفين متعاونين جدًا,,60.0,Mid,3,1,0.75,Positive,"رائع, رائعة, جميل",سيئة,False,South,68.82,Tier 2,⚠️ Risky
High,Entertainment,صالة بولينج في جدة,رد سي مول,Jeddah,4.7,910,,12,055 643 5911,,"السبت: 9:00 ص – 4:00 ص, الأحد: 9:00 ص – 4:00 ص, الاثنين: 9:00 ص – 4:00 ص, الثلاثاء: 9:00 ص – 4:00 ص, الأربعاء: 9:00 ص – 4:00 ص, الخميس: 9:00 ص – 5:00 ص, الجمعة: 3:00 م – 5:00 ص",21.5280279,39.1789674,افضل مكان من ناحية اسعار والعاب مرتبة والمكان جداً حلو لا يفوتكم ومره اشكر الموظفين جميعاً حقيقي تعاملهم ومساعدتهم كانت … | بكل امانة ناس محترمين جدا روقي في التعامل وابتسامة ماتفارق وجه الموظف وتنظيم ممتاز جدا في كل قسم من الالعاب وشكر خاص جدا… | تجربتي اليوم الاولى لصالة جولة التحدي للبولينغ والالعاب. بداية المكان جدا نظيف. الموظفين متعاونين وسريعين الاستجابة. نفس…,,60.0,Mid,3,0,1.0,Positive,"ممتاز, نظيف, سريع",,False,South,74.51,Tier 2,⭐ Star
Low,Entertainment,بولينج,رد سي مول,Jeddah,5.0,2,,1,,,,21.6269709,39.1102187,المكان مرا جميل,,60.0,Mid,1,0,1.0,Positive,جميل,,False,South,43.12,Tier 3,💎 Hidden Gem
Low,Entertainment,سنوي فورست,رد سي مول,Jeddah,2.1,355,,2,,http://www.alhokair.com/,"السبت: 10:00 ص – 12:00 ص, الأحد: 10:00 ص – 11:00 م, الاثنين: 10:00 ص – 11:00 م, الثلاثاء: 10:00 ص – 11:00 م, الأربعاء: 10:00 ص – 11:00 م, الخميس: 10:00 ص – 12:00 ص, الجمعة: 10:00 ص – 12:00 ص",21.627431,39.110836,سنوي فورست في الردسي مول تجربة رائعة للأطفال، خاصة لمن يحبون الحركة والمغامرة. المكان مجهز بأنشطة ممتعة مثل التسلق، القف… | من اسوء الالعاب اللي دخلتها اطفالي كل الموظفين فيها مهو متعاون ليش حاطين ناس اسلوبهم كذا مع اطفال عندهم الشراب مهم اكثر … | من اسوأ محلات العاب الاطفال ولو فيه اقل من نجمة وحدة رح احطها لهم حجزت من التطبيق تذكرتين لاولادي واستقعدولي على موضوع ا…,,60.0,Mid,3,0,1.0,Positive,"رائع, رائعة, تجربة رائعة",,False,South,43.3,Tier 3,⚠️ Risky
Medium,Entertainment,الردسي مول,رد سي مول,Jeddah,4.7,114,,1,,,,21.6272975,39.11244629999999,الردسي مول جميل متوفر فيه كل شي ، المصاعد كثيرة ،الالعاب تفتح من ١٠ صباحا الى ١٢ بالليل ، ذهبت لمحل للحلاقين وكان حلقهم … | الردسي مول في جدة من أبرز وأفضل مولات المدينة. المول يتميز بتصميمه العصري والمساحات الواسعة، ويوفر مجموعة كبيرة من المحل… | المول حلو ومرتب والموظفين احلى وأروع والموظفه فاطمه القرني في سنتربوينت رائعه رائعه بمعني الكلمه ربي يسعدها ويوفقها خدوم…,,60.0,Mid,3,0,1.0,Positive,"رائع, جميل, أفضل",,False,South,53.13,Tier 2,💎 Hidden Gem
Low,Entertainment,Red Sea…Pickleball,رد سي مول,Jeddah,4.9,19,,1,050 565 1588,,,21.6302553,39.1149517,العبه جميله مشابهه للعبه بادل وا اشكر محمد سعيد على الاسلوب الراقي جدا ولكم زياره ثانيه | لعبة جميله وشيقه ومكان رائع | شي رائع انصح به,,60.0,Mid,2,0,1.0,Positive,"رائع, جميل",,False,South,46.0,Tier 3,💎 Hidden Gem
Medium,Entertainment,Xtreme Play اكستريم بلاي,رد سي مول,Jeddah,4.3,399,,13,800 244 0306,https://www.xtremeplay.sa/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15867961421463580158,"السبت: 2:00–11:00 م, الأحد: 2:00–11:00 م, الاثنين: 2:00–11:00 م, الثلاثاء: 2:00–11:00 م, الأربعاء: 2:00–11:00 م, الخميس: 3:00 م – 12:00 ص, الجمعة: 3:00 م – 12:00 ص",21.5986979,39.1434743,تجربة جدا جدا اكثر من رائعه حفلة عيد ميلاد اولادي من الالف للياء منظمه وتصميم يجنن المشرفه اللبقه اسراء رافقتنا بكل خطوه… | تجربة جدا جدا اكثر من رائعه حفلة عيد ميلاد بنتي من الالف للياء منظمه وتصميم بجنن المشرفه اللبقه اسيل رافقتنا بكل خطوه وا… | اليوم عملت حفلة عندهم ماشاءالله كانت جداً جميلة واسيل الله يسعدها ما قصرت معانا الله يعطيها العافية يارب كل شي كان حلوو …,,60.0,Mid,3,0,1.0,Positive,"رائع, جميل, جميلة",,False,South,72.2,Tier 2,⭐ Star
Low,Entertainment,Red Sea Toys رد سي توير,رد سي مول,Jeddah,5.0,2,,1,054 084 0809,,"السبت: 10:00 ص – 11:58 م, الأحد: 10:00 ص – 11:58 م, الاثنين: 10:00 ص – 11:58 م, الثلاثاء: 10:00 ص – 11:58 م, الأربعاء: 10:00 ص – 11:58 م, الخميس: 10:00 ص – 11:58 م, الجمعة: 2:00–11:58 م",21.6280485,39.111207,غير جيد,,60.0,Mid,0,0,0.5,Mixed,,,False,South,35.62,Tier 3,💎 Hidden Gem
High,Entertainment,كيدزانيا,رد سي مول,Jeddah,3.7,4155,,10,012 655 4115,https://jeddah.kidzania.com/,"السبت: 10:00 ص – 12:00 ص, الأحد: 10:00 ص – 12:00 ص, الاثنين: 10:00 ص – 12:00 ص, الثلاثاء: 10:00 ص – 12:00 ص, الأربعاء: 10:00 ص – 12:00 ص, الخميس: 10:00 ص – 1:00 ص, الجمعة: 2:00 م – 1:00 ص",21.633206,39.157372,نادين في كيدزانيا كانت مره رائعه 🤍 ماسكه الطياره وكانت متقنه شغلها، تعاملها مع الأطفال يجنن وصبوره وتعرف كيف توصل المعلو… | زرت المكان اليوم كإستقبال من الموظفين ١٠/١٠ المكان شرح وكبير وفيه خيارات كثيره رغم ان كثير بوثات جوه مغلقه للصيانه ، فكر… | رحنا بدري من اول ما فتح كان العدد مقبول بس للأسف صرنا مع مجموعة اولاد كبار اعمار ٨-٩ ويسووا إزعاج وحركات بايخة. وولدي صغ…,,60.0,Mid,1,0,1.0,Positive,رائع,,False,South,74.91,Tier 2,⚠️ Risky
Medium,Entertainment,Enter10 Bowling,رد سي مول,Jeddah,4.9,55,,18,053 935 9593,https://enter-ten.com/branches,"السبت: 4:30 م – 1:00 ص, الأحد: 4:30 م – 1:00 ص, الاثنين: 4:30 م – 1:00 ص, الثلاثاء: 4:30 م – 1:00 ص, الأربعاء: 4:30 م – 1:00 ص, الخميس: 4:30 م – 1:00 ص, الجمعة: 4:30 م – 1:00 ص",21.5679968,39.1110356,مكان جميل ورائع العاملين مرة رائعين | صراحه اشكر الموظف نايف كثير الشكر انسان خلوووق ومحترم جداً ورحب فينا ما قصر والله | المكان مرتب ورائع والستاف متعاونين جدا وخلوقين وخاصة الأستاذ معتز ، وأسعارهم مناسبة ،,,60.0,Mid,2,0,1.0,Positive,"رائع, جميل",,False,South,71.69,Tier 2,💎 Hidden Gem
High,Entertainment,Enter10 Bowling,رد سي مول,Jeddah,4.4,1421,,18,055 881 1470,https://enter-ten.com/branches,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: 2:00 م – 12:00 ص",21.638997,39.1328679,المكان مره جميل فوق التقييم وانبسطنا فيه واشكر المشرف عبدالله فلاته على تعامله وأسلوبه الراقي مع الجميع مره حببنا في الم… | زرت محل البولنج وكانت التجربة جدًا جميلة من جميع النواحي. المكان نظيف، مرتب، والأجواء حلوة وتناسب العوائل والأصدقاء. الم… | الموظف عبد الرحمن جداً محترم الله يسعده المكان جميل جدًز,,60.0,Mid,3,0,1.0,Positive,"جميل, جميلة, نظيف",,False,South,79.96,Tier 1,⭐ Star
High,Entertainment,The Round Jeddah Park ذا راوند,رد سي مول,Jeddah,4.8,1087,,12,050 336 8123,https://www.gojumpup.com/,"السبت: 12:00 م – 12:00 ص, الأحد: 12:00 م – 12:00 ص, الاثنين: 12:00 م – 12:00 ص, الثلاثاء: 12:00 م – 12:00 ص, الأربعاء: 12:00 م – 12:00 ص, الخميس: 12:00 م – 2:00 ص, الجمعة: 2:00 م – 2:00 ص",21.5565778,39.1851089,يعطيكم العافيه على كل شي قدمتوه وعملتوه..الاولاد مره انبسطو ..كانت البيتزا مره لذيذه ..رقي في تعامل الموظفين..وشكر خاص ل… | المكان مرا جميل و تعامل الموظفين و كل شيء حرفيا رهيب و اشكر الموظفة ميرنا على تعاملها و اسلوبها | اول مره وبكررها ان شاءالله حبيت التعامل والاسلوب والمكان رهيب ويستاهل كل الشكر للموظفه بيرلا,,60.0,Mid,3,0,1.0,Positive,"لذيذ, جميل, يستاهل",,False,South,80.33,Tier 1,⭐ Star
High,Entertainment,مدينة البولينج,رد سي مول,Jeddah,4.1,1817,,12,012 261 2116,https://www.facebook.com/pg/Bowlingcity1/about/,"السبت: 5:00 م – 2:30 ص, الأحد: 3:00 م – 2:30 ص, الاثنين: 3:00 م – 2:30 ص, الثلاثاء: 3:00 م – 2:30 ص, الأربعاء: 3:00 م – 2:30 ص, الخميس: 3:00 م – 2:30 ص, الجمعة: 6:00 م – 2:30 ص",21.5480401,39.1626832,ما شاء لله مكان فنان اسعار جيدة البولينج توجد مقاسات لجيمع كرات البولينج البلياردو طاولت ومضارب جيدة يوجد منطقة سناكات و… | بنقل لكم تجربتي كأول مره اجي صراحه ازعاج مره ماعمري جيت مكان بإزعاج كذا ولا أحد يأخذ راحته وكذالك في اشكاليه باللعب في ص… | حلو وسعره حلو 25 ريال بس الأجهزة مرات تعلق ولا يطلع بس مرتب ونظيف,,60.0,Mid,1,0,1.0,Positive,نظيف,,False,South,77.75,Tier 1,⚠️ Risky
Medium,Entertainment,Jeddah Lanes Al Shallal Bowling,رد سي مول,Jeddah,3.8,60,,12,055 220 9964,,"السبت: 4:00 م – 1:00 ص, الأحد: 4:00 م – 1:00 ص, الاثنين: 4:00 م – 1:00 ص, الثلاثاء: 4:00 م – 1:00 ص, الأربعاء: 4:00 م – 1:00 ص, الخميس: 4:00 م – 1:00 ص, الجمعة: 4:00 م – 1:00 ص",21.5686231,39.1114198,مكان جميل وعائلي بامتياز العاب لجميع الاعمار مع كافة الخدمات مميز . يمكن الحصول على العروض لاسمتاع اكبر | المكان حجمه جيد، يوجد بولينج، بلياردوا، وكافتيريا واماكن مخصصة للجلوس. للاسف شاشات البولينج لاتعمل جيدا | مكان حلوا وجميل بس الاسعار مرررره مبالغ فيها المفروض تكون تداكر الدخول بسعر اقل ولاساور سعر اقل خاصه انه مكان كبير ومعرو…,,60.0,Mid,1,0,1.0,Positive,جميل,,False,South,60.19,Tier 2,❌ Weak
