priority,category,merchant,mall,city,rating,reviews,avg_price,branches,phone,website,opening_hours,lat,lng,reviews_text,price_mid_raw,price_mid,price_segment,pos_kw_count,neg_kw_count,sentiment_ratio,sentiment_label,top_pos_kw,top_neg_kw,mentions_delivery,geo_zone,bd_priority_score,tier,quadrant
Low,Casual Dining,كومبير افندم,الراشد ميغا مول المدينة المنورة,Medina,4.6,59,,1,051 021 0701,,"السبت: 9:00 ص – 3:30 ص, الأحد: 9:00 ص – 3:30 ص, الاثنين: 9:00 ص – 3:30 ص, الثلاثاء: 9:00 ص – 3:30 ص, الأربعاء: 9:00 ص – 3:30 ص, الخميس: 9:00 ص – 3:30 ص, الجمعة: 1:00 م – 3:30 ص",24.4883054,39.6492688,البطاطس أكلة لذيذة جداً وباذات اذا فيها اصافات .. تجربتي البطاطس باردة و ممكن بايتة من قبل ومعاد تسخينها للاستخدام القشر… | بسم الله الرحمن الرحيم والحمد لله رب العالمين. الطعام : ممتاز وجودته عاليه ولذيذ وأخذته حار وجلس معي ٣ ساعات حار، السعر … | آخر مره طلبت منهم كان ممتاز احيانا يكون ممتاز واحيانا وسط امكن على حسب نوعية البطاطس,,60.0,Mid,3,2,0.6,Mixed,"لذيذ, لذيذة, ممتاز","بارد, باردة",False,South,40.62,Tier 3,💎 Hidden Gem
High,Casual Dining,تشومب برقر | chompburger,الراشد ميغا مول المدينة المنورة,Medina,4.7,2407,,1,055 531 9096,,"السبت: 12:00 م – 2:00 ص, الأحد: 12:00 م – 2:00 ص, الاثنين: 12:00 م – 2:00 ص, الثلاثاء: 12:00 م – 2:00 ص, الأربعاء: 12:00 م – 2:00 ص, الخميس: 12:00 م – 3:00 ص, الجمعة: 12:00 م – 3:00 ص",24.4851451,39.6504942,بما اني من محبيين البرجر توفقنا في اختيار هذا المكان من الذ الاماكن الي تقدم البرجر سواء لحم او دجاج طلبي كان دبل تشيز ب… | والله مشاء الله اللحم مرررررة فخم وكل شي فاخر من الاخر وخدمة الاخ محمد العامري محترم جدا جدا وخدوووم ومهتم في ادق التفاص… | أول تجربة لي في المطعم ، أشكر الموظف محمد على تعاونه و على حسن التعامل تشومب برجر راائع عجبني و أرجع اطلبه ثاني 😋 البطاط…,,60.0,Mid,0,0,0.5,Mixed,,,False,South,56.35,Tier 2,⭐ Star
High,Casual Dining,الرومانسية -المدينة المنورة | Al romansiah,الراشد ميغا مول المدينة المنورة,Medina,4.2,22175,40–80 SAR,12,9200 00144,http://www.alromansiah.com/,"السبت: 10:30 ص – 1:00 ص, الأحد: 10:30 ص – 1:00 ص, الاثنين: 10:30 ص – 1:00 ص, الثلاثاء: 10:30 ص – 1:00 ص, الأربعاء: 10:30 ص – 1:00 ص, الخميس: 10:30 ص – 2:00 ص, الجمعة: 12:00 م – 2:00 ص",24.470017,39.641646,صراحة اسوئ مطعكم فرع الاحساء والدمام غير بكثير الخدمة في الافرع الباقية ممتازة لكن فرغع المدينة المنورة لا انصح به اول ش… | بسم الله ما شاء الله مطاعم الرومانسية ذو سلسله بالافرع يمتاز بتنوع بالجلسات والمواقف لسيارات الخيارات عنده كثيرة ومتنوعه… | حجم الدجاج صغير اعتقد حجم الدجاجة ٦٠٠ ج او اقل جودة الطعام اقل بكتير من المتوقع سواء الدجاج او الارز اما البامية والملوخ…,60.0,60.0,Mid,4,1,0.8,Positive,"ممتاز, ممتازة, جودة",صغير,False,South,80.09,Tier 1,⚠️ Risky
High,Casual Dining,زيتون,الراشد ميغا مول المدينة المنورة,Medina,4.8,34339,40–80 SAR,28,054 316 3461,http://www.zaitoonksa.com/,"السبت: 12:30 م – 12:30 ص, الأحد: 12:30 م – 12:30 ص, الاثنين: 12:30 م – 12:30 ص, الثلاثاء: 12:30 م – 12:30 ص, الأربعاء: 12:30 م – 12:30 ص, الخميس: 12:30 م – 12:30 ص, الجمعة: 12:30 م – 12:30 ص",24.4714265,39.6102625,المطعم داخل مركز طيبة التجاري في الجهة الشمالية من الحرم الاكل جيد جداً: البرياني كان لذيذ بتر شكن كان متوسط والخبز ممتا… | لا تقرب ابدا حق عمال ويفتح بعد صلاة المغرب يحبروك تاخذ سفري وتنقلع بره المطعم وهم يرصوا الطاولات ويفطروا فطور جماعي وانت… | الاستقبال كان جيد جدًا، والأسلوب العام للمكان هادئ ومريح. سرعة تلبية الطلب ممتازة، وتعامل العاملين راقٍ ومحترم. طريقة تق…,60.0,60.0,Mid,5,0,1.0,Positive,"لذيذ, ممتاز, ممتازة",,False,South,88.04,Tier 1,⭐ Star
Medium,Casual Dining,الكنفاني الاصلي الراشد مول,الراشد ميغا مول المدينة المنورة,Medina,3.9,379,40–80 SAR,2,057 123 1255,,"السبت: 1:00 م – 1:00 ص, الأحد: 1:00 م – 1:00 ص, الاثنين: 1:00 م – 1:00 ص, الثلاثاء: 1:00 م – 1:00 ص, الأربعاء: 1:00 م – 1:00 ص, الخميس: 1:00 م – 1:00 ص, الجمعة: 1:00 م – 1:00 ص",24.4853535,39.6503331,ماشاء الله تبارك الله كنافة خفيفة لطيفة ولذيذة جدا انصحكم بالمبرومة جدا رائعة | الخمس نجوم قليلة بحقهم، جودة وطعم يفتح النفس، تعامل راقي وكنافة تستاهل كل المدح ⭐⭐⭐⭐⭐ | لاطعم القشطه واضح ولاطعم الجبنة واضح عكس بدايتهم,60.0,60.0,Mid,5,0,1.0,Positive,"لذيذ, لذيذة, رائع",,False,South,52.64,Tier 2,❌ Weak
Low,Casual Dining,بارن كافية,الراشد ميغا مول المدينة المنورة,Medina,3.8,106,,2,9200 06843,https://barns.com.sa/en,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",24.487687,39.64856700000001,والله القهوه فوق التقيممم والموظفه جود عسلللل ما شاء الله بشوشه مرا رغم الضغط والقهوه مزبوطهههه زبطتها مرا ما شاء الله ا… | المكان حلو لاكن القهوه مو مزبوطك سوتها الموظفة سيرين ورجعت القهوه وقلت لهم غيرو القهوه والموظفة وفوراً سمعو كلامي وسوتها… | الكافى بالراشد مول . القهوةً ممتازة . فى جلسات داخل المحل وفى بالخارج . الكافى مساحته متوسطة ، عنده انواع من المشروبات ا…,,60.0,Mid,2,0,1.0,Positive,"ممتاز, ممتازة",,False,South,49.83,Tier 3,❌ Weak
Low,Casual Dining,بيتزا لينيو,الراشد ميغا مول المدينة المنورة,Medina,4.2,142,,1,014 835 8222,,"السبت: 1:00–11:55 م, الأحد: 1:00–11:55 م, الاثنين: 1:00–11:55 م, الثلاثاء: 1:00–11:55 م, الأربعاء: 1:00–11:55 م, الخميس: 1:00–11:55 م, الجمعة: 1:30–11:55 م",24.4879681,39.6485474,١- بيتزا بيبروني بالحطب مرة طعم وأسطوري وجودته العالية!👍🏻😋🤩 ٢- بطاطس مقلي مرة طعم بالمقرمش بعض الشيء وجودته العالية!👍🏻😋👍… | بيتزا رقيقة ولذيذة جدا، العامل حنيف أجاد العمل والإعداد بشكل ومستوى ممتاز، تجربة مميزة بالطبخ بإستخدام الحطب، عند زيارة … | زمااان يافن.. كان مطعمي المفضل للبيتزا بالمدينة اتوقع من ١٥ سنة.. اختفيت فجاة ورجعت ولسع موجود ماشا الله. طيب بس المنافس…,,60.0,Mid,3,0,1.0,Positive,"لذيذ, لذيذة, ممتاز",,False,South,46.2,Tier 3,❌ Weak
Low,Cafes,بول كفيه,الراشد ميغا مول المدينة المنورة,Medina,3.9,74,,3,,,,24.4875038,39.6491799,بول من الأماكن إلي لها مكانة خاصة في قلبي جميع سواء فروعهم في المملكة وخارجها ، لكن فرع الراشد مول هو المفضل عندي . الأج… | المكان: جميل جدا النظافة: ممتاز الخدمة: جيناهم على يوم ميلاد أخوي واحتفلوا فيه 🥰 مع ان ما كان عندهم الخدمة بس تجاوبوا مع… | اخذت كوفي دي بارد وساخن + تشيز كيك وكانت روعه ومميزه ولكن الخدمه اللي على الطاولات ليست جيده ، الطاولات غير نظيفة، أخبرت…,,60.0,Mid,4,1,0.8,Positive,"ممتاز, جميل, نظيف",بارد,False,South,42.83,Tier 3,❌ Weak
Low,Cafes,(ميتل) Mettle,الراشد ميغا مول المدينة المنورة,Medina,4.6,42,,1,054 848 5681,,"السبت: 9:00 ص – 1:00 ص, الأحد: 9:00 ص – 1:00 ص, الاثنين: 9:00 ص – 1:00 ص, الثلاثاء: 9:00 ص – 1:00 ص, الأربعاء: 9:00 ص – 1:00 ص, الخميس: 9:00 ص – 1:00 ص, الجمعة: 1:00 م – 1:00 ص",24.487735,39.6488228,السلام عليكم مساء الخير تصدقوا اني اضرب مشوار بس عشان اخد الكوكيز حقهم؟ لذيذ لذيذ بشكل!!!ياخي الي سواه ما يخاف الله ادمن… | طلبي كان فلات وايت وكان مزبوط 👌🏼 طلبت مني تشيز كيك بالتوت حبيت طعمه والحلا موزن طعمه و كوكيز فستق مكانه الراشد مول صراحه… | من افضل القهاوي المختصة الي زرتها وبالنسبه للحلى عندهم استثنائي وماشفته بأي كوفي وبالذات الكوكيز بانواعه جدا ً جميل.,,60.0,Mid,2,0,1.0,Positive,"لذيذ, جميل",,False,South,46.01,Tier 3,💎 Hidden Gem
High,Cafes,تيم هورتنز,الراشد ميغا مول المدينة المنورة,Medina,4.2,639,40–80 SAR,5,053 505 5181,https://timhortonsgcc.com/,"السبت: 9:00 ص – 12:00 ص, الأحد: 9:00 ص – 12:00 ص, الاثنين: 9:00 ص – 12:00 ص, الثلاثاء: 9:00 ص – 12:00 ص, الأربعاء: 9:00 ص – 12:00 ص, الخميس: 9:00 ص – 12:00 ص, الجمعة: 9:00 ص – 12:00 ص",24.4875275,39.6492196,اشكر الاخ سعد زرت هذا المكان اكثر من مرة وبصفة متكررة القهوة رائعة وطاقم العمل رائع …. لهم كل الشكر 🌹 | الايس شوكلت سيئ مافي نكهة شوكلت اصلا والقهوة بارده ما تنشرب خير شر والحلى الرولز قرفة ممتاز بوسطن كريم الكاستر سيء جدا غ… | هذا الفرع غير خدوم مريت عليه ابي يفعل لي الخصم وصرفني بالنظام معلق .. ترا واضحه التصريفه رحت لفرع ثاني ل Tim وماقصروا خد…,60.0,60.0,Mid,3,2,0.6,Mixed,"رائع, رائعة, ممتاز","سيء, بارد",False,South,62.55,Tier 2,⚠️ Risky
Low,Cafes,مومكس كافيه MoMix cafe,الراشد ميغا مول المدينة المنورة,Medina,4.4,54,,3,,,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",24.4964882,39.6445379,المكان حلو و القهوة لذيذة يديهم العافيه كل شوي يسألونا محتاجين شيء و شكرًا لاستاذ مصطفى على الخدمة الرهيبة و الكوفي محتر… | الصراحة كل شي عندهم لذيذ سواء القهوة او الحلا او الارجيلة كل شي يفوز عندهم واهني الموظف ايمن ومدير الكوفي أ.مصطفى جدا مت… | أولا تحياتي لإدارة كافيه مومكس تميز المكان موقعه ونظافته إدارة ناجحة بمعنى الكلمة ....... جمال المكان بجمال العاملين فيه…,,60.0,Mid,2,0,1.0,Positive,"لذيذ, لذيذة",,False,South,47.77,Tier 3,💎 Hidden Gem
High,Cafes,الينا كافيه ALINA CAFE - سلطانة,الراشد ميغا مول المدينة المنورة,Medina,4.3,559,,27,054 459 5058,https://instagram.com/alina_coffee22?igshid=YmM0MjE2YWMzOA==,"السبت: 6:00 ص – 2:00 ص, الأحد: 6:00 ص – 2:00 ص, الاثنين: 6:00 ص – 2:00 ص, الثلاثاء: 6:00 ص – 2:00 ص, الأربعاء: 6:00 ص – 2:00 ص, الخميس: 6:00 ص – 4:00 ص, الجمعة: 6:00 ص – 4:00 ص",24.4852538,39.5748987,"تقريباً سار الكافيه المفضل عندي بلس كل شي عندهم طعم حقيقي جربت كل منتج عندهم وكله حقه معاه تشيز البقلاوة رهييييب بس اغلب… | المكان جميل جدا وفيه طاقة روقان عالية الستور مليء بتشكيلة اكواب ومقات جيدة الموظفيين قمه في الاحترام القهوة لذيذة والحلى… | مكان انيق ورائع، لاتفوتكم الطلبات اللي طلبناها خصوصاً ""مقلوبة الينا"" 😋و الدبل اسبريسو بن اثيوبي عالم ثاني ☕️، شكراً جزيل…",,60.0,Mid,4,0,1.0,Positive,"لذيذ, لذيذة, رائع",,False,South,78.04,Tier 1,⭐ Star
High,Cafes,Single Cafe - سنجل كافية البدراني,الراشد ميغا مول المدينة المنورة,Medina,4.5,777,40–80 SAR,2,056 862 2233,https://www.instagram.com/singlesa_/,"السبت: نعمل على مدار 24 ساعة, الأحد: نعمل على مدار 24 ساعة, الاثنين: نعمل على مدار 24 ساعة, الثلاثاء: نعمل على مدار 24 ساعة, الأربعاء: نعمل على مدار 24 ساعة, الخميس: نعمل على مدار 24 ساعة, الجمعة: نعمل على مدار 24 ساعة",24.4350543,39.6775969,المكان جميل ورايق لكنه ينقصه بعض التفاصيل البسيطة في كلا الفرعين للأسف بس لو ينتبهون لها يكون تمام .. الطلب يتأااخر مرة … | رائع جدا واجواء جميلة جدا وحلى لذيذ و موزون واشكر القائمين و الموظفين على حسن الأخلاق والادب واللباقة. سوف نكرر الزيارة | المكان هادي ورايق، لكن اللي حصل معي صراحة كان مستفز جدًا. رحت أستخدم دورة المياه وكانت مقفلة، مع إن الموظفة كانت طالعة م…,60.0,60.0,Mid,4,0,1.0,Positive,"لذيذ, رائع, جميل",,False,South,66.94,Tier 2,⭐ Star
